Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Anaxyrus houstonensis,Houston Toad,Anaxyrus houstonensis_Houston Toad,NA,NA
Anaxyrus microscaphus,Arizona Toad,Anaxyrus microscaphus_Arizona Toad,NA,NA
Anaxyrus quercicus,Oak Toad,Anaxyrus quercicus_Oak Toad,NA,NA
Anaxyrus speciosus,Texas Toad,Anaxyrus speciosus_Texas Toad,NA,NA
Anaxyrus terrestris,Southern Toad,Anaxyrus terrestris_Southern Toad,NA,NA
Anaxyrus woodhousii,Woodhouse's Toad,Anaxyrus woodhousii_Woodhouse's Toad,NA,NA
Ancistrops strigilatus,Chestnut-winged Hookbill,Ancistrops strigilatus_Chestnut-winged Hookbill,NA,NA
Andigena hypoglauca,Grey-breasted Mountain-Toucan,Andigena hypoglauca_Grey-breasted Mountain-Toucan,NA,NA
Andigena laminirostris,Plate-billed Mountain-Toucan,Andigena laminirostris_Plate-billed Mountain-Toucan,NA,NA
Andigena nigrirostris,Black-billed Mountain-Toucan,Andigena nigrirostris_Black-billed Mountain-Toucan,NA,NA
Androdon aequatorialis,Tooth-billed Hummingbird,Androdon aequatorialis_Tooth-billed Hummingbird,NA,NA
Andropadus importunus,Sombre Greenbul,Andropadus importunus_Sombre Greenbul,NA,NA
Anhima cornuta,Horned Screamer,Anhima cornuta_Horned Screamer,NA,NA
Anhinga anhinga,Anhinga,Anhinga anhinga_Anhinga,NA,NA
Anhinga melanogaster,Oriental Darter,Anhinga melanogaster_Oriental Darter,NA,NA
Anhinga novaehollandiae,Australasian Darter,Anhinga novaehollandiae_Australasian Darter,NA,NA
Anisognathus igniventris,Scarlet-bellied Mountain Tanager,Anisognathus igniventris_Scarlet-bellied Mountain Tanager,NA,NA
Anisognathus lacrymosus,Lacrimose Mountain Tanager,Anisognathus lacrymosus_Lacrimose Mountain Tanager,NA,NA
Anisognathus somptuosus,Blue-winged Mountain Tanager,Anisognathus somptuosus_Blue-winged Mountain Tanager,NA,NA
Anodorhynchus hyacinthinus,Hyacinth Macaw,Anodorhynchus hyacinthinus_Hyacinth Macaw,NA,NA
Anodorhynchus leari,Indigo Macaw,Anodorhynchus leari_Indigo Macaw,NA,NA
Anorrhinus galeritus,Bushy-crested Hornbill,Anorrhinus galeritus_Bushy-crested Hornbill,NA,NA
Anous ceruleus,Blue-grey Noddy,Anous ceruleus_Blue-grey Noddy,NA,NA
Anous minutus,Black Noddy,Anous minutus_Black Noddy,NA,NA
Anous stolidus,Brown Noddy,Anous stolidus_Brown Noddy,NA,NA
Anous tenuirostris,Lesser Noddy,Anous tenuirostris_Lesser Noddy,NA,NA
Ambystoma gracile,NA,NA,Northwestern Salamander,amphibians
Anser anser,Greylag Goose,Anser anser_Greylag Goose,NA,NA
Ambystoma macrodactylum,NA,NA,Long-toed Salamander,amphibians
Ambystoma mavortium,NA,NA,Western Tiger Salamander,amphibians
Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum_Grasshopper Sparrow,Grasshopper Sparrow,birds
Anser cygnoides,Swan Goose,Anser cygnoides_Swan Goose,NA,NA
Anser erythropus,Lesser White-fronted Goose,Anser erythropus_Lesser White-fronted Goose,NA,NA
Anser fabalis,Taiga Bean Goose,Anser fabalis_Taiga Bean Goose,NA,NA
Anser indicus,Bar-headed Goose,Anser indicus_Bar-headed Goose,NA,NA
Ammospiza leconteii,LeConte's Sparrow,Ammospiza leconteii_LeConte's Sparrow,LeConte's Sparrow,birds
Anser serrirostris,Tundra Bean Goose,Anser serrirostris_Tundra Bean Goose,NA,NA
Anseranas semipalmata,Magpie Goose,Anseranas semipalmata_Magpie Goose,NA,NA
Anthipes monileger,White-gorgeted Flycatcher,Anthipes monileger_White-gorgeted Flycatcher,NA,NA
Anthipes solitaris,Rufous-browed Flycatcher,Anthipes solitaris_Rufous-browed Flycatcher,NA,NA
Anthobaphes violacea,Orange-breasted Sunbird,Anthobaphes violacea_Orange-breasted Sunbird,NA,NA
Anthochaera carunculata,Red Wattlebird,Anthochaera carunculata_Red Wattlebird,NA,NA
Anthochaera chrysoptera,Little Wattlebird,Anthochaera chrysoptera_Little Wattlebird,NA,NA
Anthochaera lunulata,Western Wattlebird,Anthochaera lunulata_Western Wattlebird,NA,NA
Anthochaera paradoxa,Yellow Wattlebird,Anthochaera paradoxa_Yellow Wattlebird,NA,NA
Anthochaera phrygia,Regent Honeyeater,Anthochaera phrygia_Regent Honeyeater,NA,NA
Anthornis melanura,New Zealand Bellbird,Anthornis melanura_New Zealand Bellbird,NA,NA
Anthoscopus minutus,Southern Penduline Tit,Anthoscopus minutus_Southern Penduline Tit,NA,NA
Anthoscopus musculus,Mouse-coloured Penduline Tit,Anthoscopus musculus_Mouse-coloured Penduline Tit,NA,NA
Anthracoceros albirostris,Oriental Pied-Hornbill,Anthracoceros albirostris_Oriental Pied-Hornbill,NA,NA
Anthracoceros coronatus,Malabar Pied-Hornbill,Anthracoceros coronatus_Malabar Pied-Hornbill,NA,NA
Anthracoceros malayanus,Black Hornbill,Anthracoceros malayanus_Black Hornbill,NA,NA
Anthracothorax nigricollis,Black-throated Mango,Anthracothorax nigricollis_Black-throated Mango,NA,NA
Anthreptes malacensis,Brown-throated Sunbird,Anthreptes malacensis_Brown-throated Sunbird,NA,NA
Anthreptes orientalis,Eastern Violet-backed Sunbird,Anthreptes orientalis_Eastern Violet-backed Sunbird,NA,NA
Anthropoides paradiseus,Blue Crane,Anthropoides paradiseus_Blue Crane,NA,NA
Ammospiza nelsoni,Nelson's Sparrow,Ammospiza nelsoni_Nelson's Sparrow,Nelson's Sparrow,birds
Anthus berthelotii,Berthelot's Pipit,Anthus berthelotii_Berthelot's Pipit,NA,NA
Anthus bogotensis,Paramo Pipit,Anthus bogotensis_Paramo Pipit,NA,NA
Anthus campestris,Tawny Pipit,Anthus campestris_Tawny Pipit,NA,NA
Amphispiza bilineata,Black-throated Sparrow,Amphispiza bilineata_Black-throated Sparrow,Black-throated Sparrow,birds
Anthus chacoensis,Pampas Pipit,Anthus chacoensis_Pampas Pipit,NA,NA
Anthus cinnamomeus,African Pipit,Anthus cinnamomeus_African Pipit,NA,NA
Anthus correndera,Correndera Pipit,Anthus correndera_Correndera Pipit,NA,NA
Anthus crenatus,Yellow-tufted Pipit,Anthus crenatus_Yellow-tufted Pipit,NA,NA
Anthus furcatus,Short-billed Pipit,Anthus furcatus_Short-billed Pipit,NA,NA
Anthus godlewskii,Blyth's Pipit,Anthus godlewskii_Blyth's Pipit,NA,NA
Anthus gustavi,Pechora Pipit,Anthus gustavi_Pechora Pipit,NA,NA
Anthus hellmayri,Hellmayr's Pipit,Anthus hellmayri_Hellmayr's Pipit,NA,NA
Anthus hodgsoni,Olive-backed Pipit,Anthus hodgsoni_Olive-backed Pipit,NA,NA
Anthus leucophrys,Plain-backed Pipit,Anthus leucophrys_Plain-backed Pipit,NA,NA
Anthus lineiventris,Striped Pipit,Anthus lineiventris_Striped Pipit,NA,NA
Anthus lutescens,Yellowish Pipit,Anthus lutescens_Yellowish Pipit,NA,NA
Anthus nattereri,Ochre-breasted Pipit,Anthus nattereri_Ochre-breasted Pipit,NA,NA
Anthus novaeseelandiae,New Zealand Pipit,Anthus novaeseelandiae_New Zealand Pipit,NA,NA
Anthus peruvianus,Peruvian Pipit,Anthus peruvianus_Peruvian Pipit,NA,NA
Anthus petrosus,Rock Pipit,Anthus petrosus_Rock Pipit,NA,NA
Anthus pratensis,Meadow Pipit,Anthus pratensis_Meadow Pipit,NA,NA
Anthus richardi,Richard's Pipit,Anthus richardi_Richard's Pipit,NA,NA
Anthus roseatus,Rosy Pipit,Anthus roseatus_Rosy Pipit,NA,NA
Anas acuta,Northern Pintail,Anas acuta_Northern Pintail,Northern Pintail,birds
Anthus rufulus,Paddyfield Pipit,Anthus rufulus_Paddyfield Pipit,NA,NA
Anthus similis,Long-billed Pipit,Anthus similis_Long-billed Pipit,NA,NA
Anthus spinoletta,Water Pipit,Anthus spinoletta_Water Pipit,NA,NA
Anas crecca,Eurasian/Green-winged Teal,Anas crecca_Eurasian/Green-winged Teal,Green-winged Teal,birds
Anthus sylvanus,Upland Pipit,Anthus sylvanus_Upland Pipit,NA,NA
Anthus trivialis,Tree Pipit,Anthus trivialis_Tree Pipit,NA,NA
Antigone antigone,Sarus Crane,Antigone antigone_Sarus Crane,NA,NA
Anas platyrhynchos,Mallard,Anas platyrhynchos_Mallard,Mallard,birds
Antigone rubicunda,Brolga,Antigone rubicunda_Brolga,NA,NA
Antigone vipio,White-naped Crane,Antigone vipio_White-naped Crane,NA,NA
Antilophia bokermanni,Araripe Manakin,Antilophia bokermanni_Araripe Manakin,NA,NA
Antilophia galeata,Helmeted Manakin,Antilophia galeata_Helmeted Manakin,NA,NA
Antrostomus arizonae,Mexican Whip-poor-will,Antrostomus arizonae_Mexican Whip-poor-will,NA,NA
Antrostomus badius,Yucatan Nightjar,Antrostomus badius_Yucatan Nightjar,NA,NA
Antrostomus carolinensis,Chuck-will's-widow,Antrostomus carolinensis_Chuck-will's-widow,NA,NA
Antrostomus noctitherus,Puerto Rican Nightjar,Antrostomus noctitherus_Puerto Rican Nightjar,NA,NA
Antrostomus ridgwayi,Buff-collared Nightjar,Antrostomus ridgwayi_Buff-collared Nightjar,NA,NA
Antrostomus rufus,Rufous Nightjar,Antrostomus rufus_Rufous Nightjar,NA,NA
Antrostomus salvini,Tawny-collared Nightjar,Antrostomus salvini_Tawny-collared Nightjar,NA,NA
Antrostomus saturatus,Dusky Nightjar,Antrostomus saturatus_Dusky Nightjar,NA,NA
Antrostomus sericocaudatus,Silky-tailed Nightjar,Antrostomus sericocaudatus_Silky-tailed Nightjar,NA,NA
Antrostomus vociferus,Eastern Whip-poor-will,Antrostomus vociferus_Eastern Whip-poor-will,NA,NA
Anumbius annumbi,Firewood-gatherer,Anumbius annumbi_Firewood-gatherer,NA,NA
Anurolimnas castaneiceps,Chestnut-headed Crake,Anurolimnas castaneiceps_Chestnut-headed Crake,NA,NA
Anurolimnas fasciatus,Black-banded Crake,Anurolimnas fasciatus_Black-banded Crake,NA,NA
Anurolimnas viridis,Russet-crowned Crake,Anurolimnas viridis_Russet-crowned Crake,NA,NA
Apalis alticola,Brown-headed Apalis,Apalis alticola_Brown-headed Apalis,NA,NA
Apalis chapini,Chapin's Apalis,Apalis chapini_Chapin's Apalis,NA,NA
Apalis cinerea,Grey Apalis,Apalis cinerea_Grey Apalis,NA,NA
Apalis flavida,Yellow-breasted Apalis,Apalis flavida_Yellow-breasted Apalis,NA,NA
Apalis jacksoni,Black-throated Apalis,Apalis jacksoni_Black-throated Apalis,NA,NA
Apalis melanocephala,Black-headed Apalis,Apalis melanocephala_Black-headed Apalis,NA,NA
Apalis personata,Black-faced Apalis,Apalis personata_Black-faced Apalis,NA,NA
Apalis porphyrolaema,Chestnut-throated Apalis,Apalis porphyrolaema_Chestnut-throated Apalis,NA,NA
Apalis ruddi,Rudd's Apalis,Apalis ruddi_Rudd's Apalis,NA,NA
Apalis rufogularis,Buff-throated Apalis,Apalis rufogularis_Buff-throated Apalis,NA,NA
Apalis sharpii,Sharpe's Apalis,Apalis sharpii_Sharpe's Apalis,NA,NA
Apalis thoracica,Bar-throated Apalis,Apalis thoracica_Bar-throated Apalis,NA,NA
Apaloderma narina,Narina Trogon,Apaloderma narina_Narina Trogon,NA,NA
Apaloderma vittatum,Bar-tailed Trogon,Apaloderma vittatum_Bar-tailed Trogon,NA,NA
Aphanotriccus audax,Black-billed Flycatcher,Aphanotriccus audax_Black-billed Flycatcher,NA,NA
Aphanotriccus capitalis,Tawny-chested Flycatcher,Aphanotriccus capitalis_Tawny-chested Flycatcher,NA,NA
Aphelocephala leucopsis,Southern Whiteface,Aphelocephala leucopsis_Southern Whiteface,NA,NA
Anas rubripes,American Black Duck,Anas rubripes_American Black Duck,American Black Duck,birds
Aphelocoma coerulescens,Florida Scrub-Jay,Aphelocoma coerulescens_Florida Scrub-Jay,NA,NA
Aphelocoma ultramarina,Transvolcanic Jay,Aphelocoma ultramarina_Transvolcanic Jay,NA,NA
Aphelocoma unicolor,Unicoloured Jay,Aphelocoma unicolor_Unicoloured Jay,NA,NA
Aphelocoma wollweberi,Mexican Jay,Aphelocoma wollweberi_Mexican Jay,NA,NA
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii_Woodhouse's Scrub-Jay,NA,NA
Aphrastura spinicauda,Thorn-tailed Rayadito,Aphrastura spinicauda_Thorn-tailed Rayadito,NA,NA
Apis mellifera,Honey Bee,Apis mellifera_Honey Bee,NA,NA
Aplonis atrifusca,Samoan Starling,Aplonis atrifusca_Samoan Starling,NA,NA
Aplonis grandis,Brown-winged Starling,Aplonis grandis_Brown-winged Starling,NA,NA
Aplonis metallica,Metallic Starling,Aplonis metallica_Metallic Starling,NA,NA
Aplonis mysolensis,Moluccan Starling,Aplonis mysolensis_Moluccan Starling,NA,NA
Aplonis opaca,Micronesian Starling,Aplonis opaca_Micronesian Starling,NA,NA
Aplonis panayensis,Asian Glossy Starling,Aplonis panayensis_Asian Glossy Starling,NA,NA
Aplonis tabuensis,Polynesian Starling,Aplonis tabuensis_Polynesian Starling,NA,NA
Aprosmictus erythropterus,Red-winged Parrot,Aprosmictus erythropterus_Red-winged Parrot,NA,NA
Aptenodytes patagonicus,King Penguin,Aptenodytes patagonicus_King Penguin,NA,NA
Apteryx mantelli,North Island Brown Kiwi,Apteryx mantelli_North Island Brown Kiwi,NA,NA
Apus affinis,Little Swift,Apus affinis_Little Swift,NA,NA
Apus apus,Common Swift,Apus apus_Common Swift,NA,NA
Apus caffer,White-rumped Swift,Apus caffer_White-rumped Swift,NA,NA
Apus melba,Alpine Swift,Apus melba_Alpine Swift,NA,NA
Apus nipalensis,House Swift,Apus nipalensis_House Swift,NA,NA
Apus pacificus,Pacific Swift,Apus pacificus_Pacific Swift,NA,NA
Apus pallidus,Pallid Swift,Apus pallidus_Pallid Swift,NA,NA
Apus unicolor,Plain Swift,Apus unicolor_Plain Swift,NA,NA
Aquila adalberti,Spanish Eagle,Aquila adalberti_Spanish Eagle,NA,NA
Anaxyrus boreas,NA,NA,Western Toad,amphibians
Aquila heliaca,Imperial Eagle,Aquila heliaca_Imperial Eagle,NA,NA
Aquila nipalensis,Steppe Eagle,Aquila nipalensis_Steppe Eagle,NA,NA
Ara ambiguus,Great Green Macaw,Ara ambiguus_Great Green Macaw,NA,NA
Ara ararauna,Blue-and-yellow Macaw,Ara ararauna_Blue-and-yellow Macaw,NA,NA
Ara chloropterus,Red-and-green Macaw,Ara chloropterus_Red-and-green Macaw,NA,NA
Ara glaucogularis,Blue-throated Macaw,Ara glaucogularis_Blue-throated Macaw,NA,NA
Ara macao,Scarlet Macaw,Ara macao_Scarlet Macaw,NA,NA
Ara militaris,Military Macaw,Ara militaris_Military Macaw,NA,NA
Ara severus,Chestnut-fronted Macaw,Ara severus_Chestnut-fronted Macaw,NA,NA
Arachnothera chrysogenys,Yellow-eared Spiderhunter,Arachnothera chrysogenys_Yellow-eared Spiderhunter,NA,NA
Arachnothera crassirostris,Thick-billed Spiderhunter,Arachnothera crassirostris_Thick-billed Spiderhunter,NA,NA
Arachnothera flavigaster,Spectacled Spiderhunter,Arachnothera flavigaster_Spectacled Spiderhunter,NA,NA
Arachnothera longirostra,Little Spiderhunter,Arachnothera longirostra_Little Spiderhunter,NA,NA
Arachnothera magna,Streaked Spiderhunter,Arachnothera magna_Streaked Spiderhunter,NA,NA
Aramides albiventris,Russet-naped Wood-Rail,Aramides albiventris_Russet-naped Wood-Rail,NA,NA
Aramides axillaris,Rufous-necked Wood-Rail,Aramides axillaris_Rufous-necked Wood-Rail,NA,NA
Aramides cajaneus,Grey-cowled Wood-Rail,Aramides cajaneus_Grey-cowled Wood-Rail,NA,NA
Aramides saracura,Slaty-breasted Wood-Rail,Aramides saracura_Slaty-breasted Wood-Rail,NA,NA
Aramides wolfi,Brown Wood-Rail,Aramides wolfi_Brown Wood-Rail,NA,NA
Aramides ypecaha,Giant Wood-Rail,Aramides ypecaha_Giant Wood-Rail,NA,NA
Aramus guarauna,Limpkin,Aramus guarauna_Limpkin,NA,NA
Aratinga auricapillus,Golden-capped Parakeet,Aratinga auricapillus_Golden-capped Parakeet,NA,NA
Aratinga jandaya,Jandaya Parakeet,Aratinga jandaya_Jandaya Parakeet,NA,NA
Aratinga nenday,Nanday Parakeet,Aratinga nenday_Nanday Parakeet,NA,NA
Aratinga weddellii,Dusky-headed Parakeet,Aratinga weddellii_Dusky-headed Parakeet,NA,NA
Arborophila atrogularis,White-cheeked Partridge,Arborophila atrogularis_White-cheeked Partridge,NA,NA
Arborophila brunneopectus,Bar-backed Partridge,Arborophila brunneopectus_Bar-backed Partridge,NA,NA
Arborophila crudigularis,Taiwan Partridge,Arborophila crudigularis_Taiwan Partridge,NA,NA
Arborophila hyperythra,Red-breasted Partridge,Arborophila hyperythra_Red-breasted Partridge,NA,NA
Arborophila javanica,Chestnut-bellied Partridge,Arborophila javanica_Chestnut-bellied Partridge,NA,NA
Arborophila mandellii,Chestnut-breasted Partridge,Arborophila mandellii_Chestnut-breasted Partridge,NA,NA
Arborophila rufogularis,Rufous-throated Partridge,Arborophila rufogularis_Rufous-throated Partridge,NA,NA
Arborophila torqueola,Hill Partridge,Arborophila torqueola_Hill Partridge,NA,NA
Aneides vagrans,NA,NA,Wandering Salamander,amphibians
Anser albifrons,Greater White-fronted Goose,Anser albifrons_Greater White-fronted Goose,Greater White-fronted Goose,birds
Anser brachyrhynchus,Pink-footed Goose,Anser brachyrhynchus_Pink-footed Goose,Pink-footed Goose,birds
Ardea cinerea,Grey Heron,Ardea cinerea_Grey Heron,NA,NA
Ardea cocoi,Cocoi Heron,Ardea cocoi_Cocoi Heron,NA,NA
Anser caerulescens,Snow Goose,Anser caerulescens_Snow Goose,Snow Goose,birds
Ardea intermedia,Medium Egret,Ardea intermedia_Medium Egret,NA,NA
Ardea melanocephala,Black-headed Heron,Ardea melanocephala_Black-headed Heron,NA,NA
Ardea purpurea,Purple Heron,Ardea purpurea_Purple Heron,NA,NA
Ardea sumatrana,Great-billed Heron,Ardea sumatrana_Great-billed Heron,NA,NA
Anser canagicus,Emperor Goose,Anser canagicus_Emperor Goose,Emperor Goose,birds
Anser rossii,Ross's Goose,Anser rossii_Ross's Goose,Ross's Goose,birds
Anthropoides virgo,Demoiselle Crane,Anthropoides virgo_Demoiselle Crane,Demoiselle Crane,birds
Anthus cervinus,Red-throated Pipit,Anthus cervinus_Red-throated Pipit,Red-throated Pipit,birds
Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica_Wedge-tailed Shearwater,NA,NA
Anthus rubescens,Buff-bellied Pipit,Anthus rubescens_Buff-bellied Pipit,American Pipit,birds
Ardeola bacchus,Chinese Pond Heron,Ardeola bacchus_Chinese Pond Heron,NA,NA
Ardeola grayii,Indian Pond Heron,Ardeola grayii_Indian Pond Heron,NA,NA
Ardeola ralloides,Squacco Heron,Ardeola ralloides_Squacco Heron,NA,NA
Ardeola speciosa,Javan Pond Heron,Ardeola speciosa_Javan Pond Heron,NA,NA
Anthus spragueii,Sprague's Pipit,Anthus spragueii_Sprague's Pipit,Sprague's Pipit,birds
Antigone canadensis,Sandhill Crane,Antigone canadensis_Sandhill Crane,Sandhill Crane,birds
Argusianus argus,Great Argus,Argusianus argus_Great Argus,NA,NA
Argya affinis,Yellow-billed Babbler,Argya affinis_Yellow-billed Babbler,NA,NA
Argya caudata,Common Babbler,Argya caudata_Common Babbler,NA,NA
Argya earlei,Striated Babbler,Argya earlei_Striated Babbler,NA,NA
Argya malcolmi,Large Grey Babbler,Argya malcolmi_Large Grey Babbler,NA,NA
Argya striata,Jungle Babbler,Argya striata_Jungle Babbler,NA,NA
Argya subrufa,Rufous Babbler,Argya subrufa_Rufous Babbler,NA,NA
Arizelocichla masukuensis,Shelley's Greenbul,Arizelocichla masukuensis_Shelley's Greenbul,NA,NA
Arizelocichla milanjensis,Stripe-cheeked Greenbul,Arizelocichla milanjensis_Stripe-cheeked Greenbul,NA,NA
Arizelocichla nigriceps,Eastern Mountain Greenbul,Arizelocichla nigriceps_Eastern Mountain Greenbul,NA,NA
Arremon abeillei,Black-capped Sparrow,Arremon abeillei_Black-capped Sparrow,NA,NA
Arremon assimilis,Grey-browed Brushfinch,Arremon assimilis_Grey-browed Brushfinch,NA,NA
Arremon atricapillus,Black-headed Brushfinch,Arremon atricapillus_Black-headed Brushfinch,NA,NA
Arremon aurantiirostris,Orange-billed Sparrow,Arremon aurantiirostris_Orange-billed Sparrow,NA,NA
Arremon basilicus,Sierra Nevada Brushfinch,Arremon basilicus_Sierra Nevada Brushfinch,NA,NA
Arremon brunneinucha,Chestnut-capped Brushfinch,Arremon brunneinucha_Chestnut-capped Brushfinch,NA,NA
Arremon castaneiceps,Olive Finch,Arremon castaneiceps_Olive Finch,NA,NA
Arremon costaricensis,Costa Rican Brushfinch,Arremon costaricensis_Costa Rican Brushfinch,NA,NA
Arremon crassirostris,Sooty-faced Finch,Arremon crassirostris_Sooty-faced Finch,NA,NA
Arremon flavirostris,Saffron-billed Sparrow,Arremon flavirostris_Saffron-billed Sparrow,NA,NA
Arremon franciscanus,Sao Francisco Sparrow,Arremon franciscanus_Sao Francisco Sparrow,NA,NA
Arremon perijanus,Perija Brushfinch,Arremon perijanus_Perija Brushfinch,NA,NA
Arremon schlegeli,Golden-winged Sparrow,Arremon schlegeli_Golden-winged Sparrow,NA,NA
Arremon semitorquatus,Half-collared Sparrow,Arremon semitorquatus_Half-collared Sparrow,NA,NA
Arremon taciturnus,Pectoral Sparrow,Arremon taciturnus_Pectoral Sparrow,NA,NA
Arremon torquatus,White-browed Brushfinch,Arremon torquatus_White-browed Brushfinch,NA,NA
Arremon virenticeps,Green-striped Brushfinch,Arremon virenticeps_Green-striped Brushfinch,NA,NA
Arremonops chloronotus,Green-backed Sparrow,Arremonops chloronotus_Green-backed Sparrow,NA,NA
Arremonops conirostris,Black-striped Sparrow,Arremonops conirostris_Black-striped Sparrow,NA,NA
Arremonops rufivirgatus,Olive Sparrow,Arremonops rufivirgatus_Olive Sparrow,NA,NA
Arremonops tocuyensis,Tocuyo Sparrow,Arremonops tocuyensis_Tocuyo Sparrow,NA,NA
Arses telescopthalmus,Frilled Monarch,Arses telescopthalmus_Frilled Monarch,NA,NA
Artamus cinereus,Black-faced Woodswallow,Artamus cinereus_Black-faced Woodswallow,NA,NA
Artamus cyanopterus,Dusky Woodswallow,Artamus cyanopterus_Dusky Woodswallow,NA,NA
Artamus fuscus,Ashy Woodswallow,Artamus fuscus_Ashy Woodswallow,NA,NA
Artamus leucorynchus,White-breasted Woodswallow,Artamus leucorynchus_White-breasted Woodswallow,NA,NA
Artamus personatus,Masked Woodswallow,Artamus personatus_Masked Woodswallow,NA,NA
Artamus superciliosus,White-browed Woodswallow,Artamus superciliosus_White-browed Woodswallow,NA,NA
Artemisiospiza belli,Bell's Sparrow,Artemisiospiza belli_Bell's Sparrow,NA,NA
Antrozous pallidus,NA,NA,Pallid Bat,mammals
Artisornis metopias,African Tailorbird,Artisornis metopias_African Tailorbird,NA,NA
Artisornis moreaui,Long-billed Tailorbird,Artisornis moreaui_Long-billed Tailorbird,NA,NA
Arundinax aedon,Thick-billed Warbler,Arundinax aedon_Thick-billed Warbler,NA,NA
Arundinicola leucocephala,White-headed Marsh Tyrant,Arundinicola leucocephala_White-headed Marsh Tyrant,NA,NA
Asemospiza fuliginosa,Sooty Grassquit,Asemospiza fuliginosa_Sooty Grassquit,NA,NA
Asemospiza obscura,Dull-coloured Grassquit,Asemospiza obscura_Dull-coloured Grassquit,NA,NA
Asio clamator,Striped Owl,Asio clamator_Striped Owl,NA,NA
Aphelocoma californica,California Scrub-Jay,Aphelocoma californica_California Scrub-Jay,California Scrub-Jay,birds
Asio grammicus,Jamaican Owl,Asio grammicus_Jamaican Owl,NA,NA
Aplodontia rufa,NA,NA,Mountain Beaver,mammals
Asio stygius,Stygian Owl,Asio stygius_Stygian Owl,NA,NA
Aspatha gularis,Blue-throated Motmot,Aspatha gularis_Blue-throated Motmot,NA,NA
Asthenes anthoides,Austral Canastero,Asthenes anthoides_Austral Canastero,NA,NA
Asthenes baeri,Short-billed Canastero,Asthenes baeri_Short-billed Canastero,NA,NA
